link user,user,waktu posting,komen,likes
https://www.instagram.com/ursmileenthusiast_/,ursmileenthusiast_,58m,🤮🤮🤮,Reply
https://www.instagram.com/wawan_nawex23/,wawan_nawex23,58m,Kepingin ngisingi ndasee,Reply
https://www.instagram.com/adalah.tessa/,adalah.tessa,58m,Sekedar info: Dukun jombang sakti sakti !!!!!,Reply
https://www.instagram.com/abcdndabc/,abcdndabc,57m,Ada ya orng kelakuan begini🤣,Reply
https://www.instagram.com/rlarassaty/,rlarassaty,57m,🤮🤮🤮,Reply
https://www.instagram.com/kpashaanggara/,kpashaanggara,57m,"Nanggung banget pa gotong cuman sekarung pdhl bnyak loh korbannya,knapa ga sepuluh karung yg di gotong kan jdi lebih enak dilihat pencitraannya😂😂😂",Reply
https://www.instagram.com/mas_nanang176/,mas_nanang176,57m,Dih,Reply
https://www.instagram.com/anjaanii____/,anjaanii____,57m,Bantu bantu matamu. Itu smua kan gara gara lu zull,Reply
https://www.instagram.com/muhamadagung_9/,muhamadagung_9,56m,Menteri Koordinator bidang Pangan Indonesia 🥀,Reply
https://www.instagram.com/matchaa_na/,matchaa_na,56m,Ludahan lah,Reply
https://www.instagram.com/ngo.el/,ngo.el,56m,Taeeeeeee,Reply
https://www.instagram.com/casperr_155/,casperr_155,56m,LAWAK,Reply
https://www.instagram.com/__offxzr/,__offxzr,56m,Bantu dikamera doang ya🤣,Reply
https://www.instagram.com/lindanestichakrisinta/,lindanestichakrisinta,56m,"Preeettttt.... Ya Allah semoga para pejabat munafik, cepat dijemput malaikat sj. Spy bersih2 semua. Aamiin .  Capek skli lihat pejabat kyk anak TK semua. Kita yg liat, malu dan miirs. 😂 Hadeehhh..",Reply
https://www.instagram.com/ikamustika_sarah/,ikamustika_sarah,56m,"tim sosmednya nggak ada yg ngasih tau apa, actingnya nggak alami banget",Reply
https://www.instagram.com/hrismydream/,hrismydream,56m,najis bener2 najis,Reply
https://www.instagram.com/afifiatfi/,afifiatfi,56m,Wkwk vlognya ntar di upload ke youtube gak nih?😂,Reply
